# locale(s)	input	(output)
# entities to leave unedited
en-AU	labour party	labor party
en-US	decentralise	decentralize
en-US	decentralised	decentralized
en-US	decentralises	decentralizes
en-US	decentralising	decentralizing
en-US	decriminalisation	decriminalization
en-US	decriminalise	decriminalize
en-US	decriminalised	decriminalized
en-US	decriminalises	decriminalizes
en-US	decriminalising	decriminalizing
en-US	defence	defense
en-US	defenceless	defenseless
en-US	defences	defenses
en-US	dehumanisation	dehumanization
en-US	dehumanise	dehumanize
en-US	dehumanised	dehumanized
en-US	dehumanises	dehumanizes
en-US	dehumanising	dehumanizing
en-US	demeanour	demeanor
en-US	demilitarisation	demilitarization
en-US	demilitarise	demilitarize
en-US	demilitarised	demilitarized
en-US	demilitarises	demilitarizes
en-US	demilitarising	demilitarizing
en-US	demobilisation	demobilization
en-US	demobilise	demobilize
en-US	demobilised	demobilized
en-US	demobilises	demobilizes
en-US	demobilising	demobilizing
en-US	democratisation	democratization
en-US	democratise	democratize
en-US	democratised	democratized
en-US	democratises	democratizes
en-US	democratising	democratizing
en-US	demonise	demonize
en-US	demonised	demonized
en-US	demonises	demonizes
en-US	demonising	demonizing
en-US	demoralisation	demoralization
en-US	demoralise	demoralize
en-US	demoralised	demoralized
en-US	demoralises	demoralizes
en-US	demoralising	demoralizing
en-US	denationalisation	denationalization
en-US	denationalise	denationalize
en-US	denationalised	denationalized
en-US	denationalises	denationalizes
en-US	denationalising	denationalizing
en-US	deodorise	deodorize
en-US	deodorised	deodorized
en-US	deodorises	deodorizes
en-US	deodorising	deodorizing
en-US	depersonalise	depersonalize
en-US	depersonalised	depersonalized
en-US	depersonalises	depersonalizes
en-US	depersonalising	depersonalizing
en-US	deputise	deputize
en-US	deputised	deputized
en-US	deputises	deputizes
en-US	deputising	deputizing
en-US	desensitisation	desensitization
en-US	desensitise	desensitize
en-US	desensitised	desensitized
en-US	desensitises	desensitizes
en-US	desensitising	desensitizing
en-US	destabilisation	destabilization
en-US	destabilise	destabilize
en-US	destabilised	destabilized
en-US	destabilises	destabilizes
en-US	destabilising	destabilizing
en-US	dialled	dialed
en-US	dialling	dialing
en-US	dialogue	dialog
en-US	dialogues	dialogs
en-US	diarrhoea	diarrhea
en-US	digitise	digitize
en-US	digitised	digitized
en-US	digitises	digitizes
en-US	digitising	digitizing
en-US	discolour	discolor
en-US	discoloured	discolored
en-US	discolouring	discoloring
en-US	discolours	discolors
en-US	disembowelled	disemboweled
en-US	disembowelling	disemboweling
en-US	disfavour	disfavor
en-US	dishevelled	disheveled
en-US	dishonour	dishonor
en-US	dishonourable	dishonorable
en-US	dishonourably	dishonorably
en-US	dishonoured	dishonored
en-US	dishonouring	dishonoring
en-US	dishonours	dishonors
en-US	disc	disk
en-US	discs	disks
en-US	disorganisation	disorganization
en-US	disorganised	disorganized
en-US	distil	distill
en-US	distils	distills
en-US	draught	draft
en-US	draughtboard	draftboard
en-US	draughtboards	draftboards
en-US	draughtier	draftier
en-US	draughtiest	draftiest
en-US	draughts	drafts
en-US	draughtsman	draftsman
en-US	draughtsmanship	draftsmanship
en-US	draughtsmen	draftsmen
en-US	draughtswoman	draftswoman
en-US	draughtswomen	draftswomen
en-US	draughty	drafty
en-US	dramatisation	dramatization
en-US	dramatisations	dramatizations
en-US	dramatise	dramatize
en-US	dramatised	dramatized
en-US	dramatises	dramatizes
en-US	dramatising	dramatizing
en-US	drivelled	driveled
en-US	drivelling	driveling
en-US	duelled	dueled
en-US	duelling	dueling
en-US	economise	economize
en-US	economised	economized
en-US	economises	economizes
en-US	economising	economizing
en-US	edoema	edema
en-US	editorialise	editorialize
en-US	editorialised	editorialized
en-US	editorialises	editorializes
en-US	editorialising	editorializing
en-US	eight storey	eight story
en-US	empathise	empathize
en-US	empathised	empathized
en-US	empathises	empathizes
en-US	empathising	empathizing
en-US	emphasise	emphasize
en-US	emphasised	emphasized
en-US	emphasises	emphasizes
en-US	emphasising	emphasizing
en-US	enamelled	enameled
en-US	enamelling	enameling
en-US	enamoured	enamored
en-US	encyclopaedia	encyclopedia
en-US	encyclopaedias	encyclopedias
en-US	encyclopaedic	encyclopedic
en-US	endeavour	endeavor
en-US	endeavoured	endeavored
en-US	endeavouring	endeavoring
en-US	endeavours	endeavors
en-US	energise	energize
en-US	energised	energized
en-US	energises	energizes
en-US	energising	energizing
en-US	enrol	enroll
en-US	enrols	enrolls
en-US	enthral	enthrall
en-US	enthrals	enthralls
en-US	aeon	eon
en-US	aeons	eons
en-US	epaulette	epaulet
en-US	epaulettes	epaulets
en-US	epicentre	epicenter
en-US	epicentres	epicenters
en-US	epilogue	epilog
en-US	epilogues	epilogs
en-US	epitomise	epitomize
en-US	epitomised	epitomized
en-US	epitomises	epitomizes
en-US	epitomising	epitomizing
en-US	equalisation	equalization
en-US	equalise	equalize
en-US	equalised	equalized
en-US	equaliser	equalizer
en-US	equalisers	equalizers
en-US	equalises	equalizes
en-US	equalising	equalizing
en-US	oesophagus	esophagus
en-US	oesophaguses	esophaguses
en-US	aesthete	esthete
en-US	aesthetes	esthetes
en-US	aesthetic	esthetic
en-US	aesthetically	esthetically
en-US	aesthetics	esthetics
en-US	oestrogen	estrogen
en-US	aetiology	etiology
en-US	eulogise	eulogize
en-US	eulogised	eulogized
en-US	eulogises	eulogizes
en-US	eulogising	eulogizing
en-US	evangelise	evangelize
en-US	evangelised	evangelized
en-US	evangelises	evangelizes
en-US	evangelising	evangelizing
en-US	exorcise	exorcize
en-US	exorcised	exorcized
en-US	exorcises	exorcizes
en-US	exorcising	exorcizing
en-US	extemporisation	extemporization
en-US	extemporise	extemporize
en-US	extemporised	extemporized
en-US	extemporises	extemporizes
en-US	extemporising	extemporizing
en-US	externalisation	externalization
en-US	externalisations	externalizations
en-US	externalise	externalize
en-US	externalised	externalized
en-US	externalises	externalizes
en-US	externalising	externalizing
en-US	factorise	factorize
en-US	factorised	factorized
en-US	factorises	factorizes
en-US	factorising	factorizing
en-US	familiarisation	familiarization
en-US	familiarise	familiarize
en-US	familiarised	familiarized
en-US	familiarises	familiarizes
en-US	familiarising	familiarizing
en-US	fantasise	fantasize
en-US	fantasised	fantasized
en-US	fantasises	fantasizes
en-US	fantasising	fantasizing
en-US	favour	favor
en-US	favourable	favorable
en-US	favourably	favorably
en-US	favoured	favored
en-US	favouring	favoring
en-US	favourite	favorite
en-US	favourites	favorites
en-US	favouritism	favoritism
en-US	favours	favors
en-US	faecal	fecal
en-US	faeces	feces
en-US	feminise	feminize
en-US	feminised	feminized
en-US	feminises	feminizes
en-US	feminising	feminizing
en-US	fertilisation	fertilization
en-US	fertilise	fertilize
en-US	fertilised	fertilized
en-US	fertiliser	fertilizer
en-US	fertilisers	fertilizers
en-US	fertilises	fertilizes
en-US	fertilising	fertilizing
en-US	fervour	fervor
en-US	foetal	fetal
en-US	foetid	fetid
en-US	foetus	fetus
en-US	foetuses	fetuses
en-US	fibre	fiber
en-US	fibreglass	fiberglass
en-US	fibres	fibers
en-US	fictionalisation	fictionalization
en-US	fictionalisations	fictionalizations
en-US	fictionalise	fictionalize
en-US	fictionalised	fictionalized
en-US	fictionalises	fictionalizes
en-US	fictionalising	fictionalizing
en-US	fillet	filet
en-US	filleted	fileted
en-US	filleting	fileting
en-US	fillets	filets
en-US	philtre	filter
en-US	philtres	filters
en-US	finalisation	finalization
en-US	finalise	finalize
en-US	finalised	finalized
en-US	finalises	finalizes
en-US	finalising	finalizing
en-US	five storey	five story
en-US	flavour	flavor
en-US	flavoured	flavored
en-US	flavouring	flavoring
en-US	flavourings	flavorings
en-US	flavourless	flavorless
en-US	flavours	flavors
en-US	flavoursome	flavorsome
en-US	flyer / flier	flier / flyer
en-US	flautist	flutist
en-US	flautists	flutists
en-US	formalisation	formalization
en-US	formalise	formalize
en-US	formalised	formalized
en-US	formalises	formalizes
en-US	formalising	formalizing
en-US	fossilisation	fossilization
en-US	fossilise	fossilize
en-US	fossilised	fossilized
en-US	fossilises	fossilizes
en-US	fossilising	fossilizing
en-US	four storey	four story
en-US	fraternisation	fraternization
en-US	fraternise	fraternize
en-US	fraternised	fraternized
en-US	fraternises	fraternizes
en-US	fraternising	fraternizing
en-US	fulfil	fulfill
en-US	fulfilment	fulfillment
en-US	fulfils	fulfills
en-US	funnelled	funneled
en-US	funnelling	funneling
en-US	gauge	gage
en-US	gauged	gaged
en-US	gauges	gages
en-US	gauging	gaging
en-US	galvanise	galvanize
en-US	galvanised	galvanized
en-US	galvanises	galvanizes
en-US	galvanising	galvanizing
en-US	gambolled	gamboled
en-US	gambolling	gamboling
en-US	gases	gasses
en-US	generalisation	generalization
en-US	generalisations	generalizations
en-US	generalise	generalize
en-US	generalised	generalized
en-US	generalises	generalizes
en-US	generalising	generalizing
en-US	ghettoise	ghettoize
en-US	ghettoised	ghettoized
en-US	ghettoises	ghettoizes
en-US	ghettoising	ghettoizing
en-US	glamour	glamor
en-US	glamorise	glamorize
en-US	glamorised	glamorized
en-US	glamorises	glamorizes
en-US	glamorising	glamorizing
en-US	globalisation	globalization
en-US	globalise	globalize
en-US	globalised	globalized
en-US	globalises	globalizes
en-US	globalising	globalizing
en-US	glueing	gluing
en-US	goitre	goiter
en-US	goitres	goiters
en-US	gonorrhoea	gonorrhea
en-US	gramme	gram
en-US	grammes	grams
en-US	gravelled	graveled
en-US	grey	gray
en-US	greyed	grayed
en-US	greying	graying
en-US	greyish	grayish
en-US	greyness	grayness
en-US	greys	grays
en-US	gryphon	griffin
en-US	gryphons	griffins
en-US	groyne	groin
en-US	groynes	groins
en-US	grovelled	groveled
en-US	grovelling	groveling
en-US	gruelling	grueling
en-US	gruellingly	gruelingly
en-US	gynaecological	gynecological
en-US	gynaecologist	gynecologist
en-US	gynaecologists	gynecologists
en-US	gynaecology	gynecology
en-US	gipsies	gypsies
en-US	harbour	harbor
en-US	harboured	harbored
en-US	harbouring	harboring
en-US	harbours	harbors
en-US	harmonisation	harmonization
en-US	harmonise	harmonize
en-US	harmonised	harmonized
en-US	harmonises	harmonizes
en-US	harmonising	harmonizing
en-US	haematological	hematological
en-US	haematologist	hematologist
en-US	haematologists	hematologists
en-US	haematology	hematology
en-US	haemoglobin	hemoglobin
en-US	haemophilia	hemophilia
en-US	haemophiliac	hemophiliac
en-US	haemophiliacs	hemophiliacs
en-US	haemorrhage	hemorrhage
en-US	haemorrhaged	hemorrhaged
en-US	haemorrhages	hemorrhages
en-US	haemorrhaging	hemorrhaging
en-US	haemorrhoids	hemorrhoids
en-US	homoeopath	homeopath
en-US	homoeopathic	homeopathic
en-US	homoeopaths	homeopaths
en-US	homoeopathy	homeopathy
en-US	homogenise	homogenize
en-US	homogenised	homogenized
en-US	homogenises	homogenizes
en-US	homogenising	homogenizing
en-US	honour	honor
en-US	honourable	honorable
en-US	honourably	honorably
en-US	honoured	honored
en-US	honouring	honoring
en-US	honours	honors
en-US	hospitalisation	hospitalization
en-US	hospitalise	hospitalize
en-US	hospitalised	hospitalized
en-US	hospitalises	hospitalizes
en-US	hospitalising	hospitalizing
en-US	humanise	humanize
en-US	humanised	humanized
en-US	humanises	humanizes
en-US	humanising	humanizing
en-US	humour	humor
en-US	humoured	humored
en-US	humouring	humoring
en-US	humourless	humorless
en-US	humours	humors
en-US	hybridise	hybridize
en-US	hybridised	hybridized
en-US	hybridises	hybridizes
en-US	hybridising	hybridizing
en-US	hypnotise	hypnotize
en-US	hypnotised	hypnotized
en-US	hypnotises	hypnotizes
en-US	hypnotising	hypnotizing
en-US	hypothesise	hypothesize
en-US	hypothesised	hypothesized
en-US	hypothesises	hypothesizes
en-US	hypothesising	hypothesizing
en-US	idealisation	idealization
en-US	idealise	idealize
en-US	idealised	idealized
en-US	idealises	idealizes
en-US	idealising	idealizing
en-US	idolise	idolize
en-US	idolised	idolized
en-US	idolises	idolizes
en-US	idolising	idolizing
en-US	immobilisation	immobilization
en-US	immobilise	immobilize
en-US	immobilised	immobilized
en-US	immobiliser	immobilizer
en-US	immobilisers	immobilizers
en-US	immobilises	immobilizes
en-US	immobilising	immobilizing
en-US	immortalise	immortalize
en-US	immortalised	immortalized
en-US	immortalises	immortalizes
en-US	immortalising	immortalizing
en-US	immunisation	immunization
en-US	immunise	immunize
en-US	immunised	immunized
en-US	immunises	immunizes
en-US	immunising	immunizing
en-US	impanelled	impaneled
en-US	impanelling	impaneling
en-US	imperilled	imperiled
en-US	imperilling	imperiling
en-US	individualise	individualize
en-US	individualised	individualized
en-US	individualises	individualizes
en-US	individualising	individualizing
en-US	industrialise	industrialize
en-US	industrialised	industrialized
en-US	industrialises	industrializes
en-US	industrialising	industrializing
en-US	inflexion	inflection
en-US	inflexions	inflections
en-US	initialled	initialed
en-US	initialling	initialing
en-US	initialise	initialize
en-US	initialised	initialized
en-US	initialises	initializes
en-US	initialising	initializing
en-US	instal	install
en-US	instalment	installment
en-US	instalments	installments
en-US	instals	installs
en-US	instil	instill
en-US	instils	instills
en-US	institutionalisation	institutionalization
en-US	institutionalise	institutionalize
en-US	institutionalised	institutionalized
en-US	institutionalises	institutionalizes
en-US	institutionalising	institutionalizing
en-US	intellectualise	intellectualize
en-US	intellectualised	intellectualized
en-US	intellectualises	intellectualizes
en-US	intellectualising	intellectualizing
en-US	internalisation	internalization
en-US	internalise	internalize
en-US	internalised	internalized
en-US	internalises	internalizes
en-US	internalising	internalizing
en-US	internationalisation	internationalization
en-US	internationalise	internationalize
en-US	internationalised	internationalized
en-US	internationalises	internationalizes
en-US	internationalising	internationalizing
en-US	ionisation	ionization
en-US	ionise	ionize
en-US	ionised	ionized
en-US	ioniser	ionizer
en-US	ionisers	ionizers
en-US	ionises	ionizes
en-US	ionising	ionizing
en-US	italicise	italicize
en-US	italicised	italicized
en-US	italicises	italicizes
en-US	italicising	italicizing
en-US	itemise	itemize
en-US	itemised	itemized
en-US	itemises	itemizes
en-US	itemising	itemizing
en-US	gaol	jail
en-US	gaolbird	jailbird
en-US	gaolbirds	jailbirds
en-US	gaolbreak	jailbreak
en-US	gaolbreaks	jailbreaks
en-US	gaoled	jailed
en-US	gaoler	jailer
en-US	gaolers	jailers
en-US	gaoling	jailing
en-US	gaols	jails
en-US	jeopardise	jeopardize
en-US	jeopardised	jeopardized
en-US	jeopardises	jeopardizes
en-US	jeopardising	jeopardizing
en-US	jewelled	jeweled
en-US	jeweller	jeweler
en-US	jewellers	jewelers
en-US	jewellery	jewelry
en-US	judgement	judgment
en-US	kilogramme	kilogram
en-US	kilogrammes	kilograms
en-US	kilometre	kilometer
en-US	kilometres	kilometers
en-US	labelled	labeled
en-US	labelling	labeling
en-US	labour	labor
en-US	laboured	labored
en-US	labourer	laborer
en-US	labourers	laborers
en-US	labouring	laboring
en-US	labours	labors
en-US	lacklustre	lackluster
en-US	legalisation	legalization
en-US	legalise	legalize
en-US	legalised	legalized
en-US	legalises	legalizes
en-US	legalising	legalizing
en-US	legitimise	legitimize
en-US	legitimised	legitimized
en-US	legitimises	legitimizes
en-US	legitimising	legitimizing
en-US	leukaemia	leukemia
en-US	levelled	leveled
en-US	leveller	leveler
en-US	levellers	levelers
en-US	levelling	leveling
en-US	libelled	libeled
en-US	libelling	libeling
en-US	libellous	libelous
en-US	liberalisation	liberalization
en-US	liberalise	liberalize
en-US	liberalised	liberalized
en-US	liberalises	liberalizes
en-US	liberalising	liberalizing
en-US	licence	license
en-US	licenced	licensed
en-US	licences	licenses
en-US	licencing	licensing
en-US	likeable	likable
en-US	lionisation	lionization
en-US	lionise	lionize
en-US	lionised	lionized
en-US	lionises	lionizes
en-US	lionising	lionizing
en-US	liquidise	liquidize
en-US	liquidised	liquidized
en-US	liquidiser	liquidizer
en-US	liquidisers	liquidizers
en-US	liquidises	liquidizes
en-US	liquidising	liquidizing
en-US	litre	liter
en-US	litres	liters
en-US	localise	localize
en-US	localised	localized
en-US	localises	localizes
en-US	localising	localizing
en-US	louvre	louver
en-US	louvred	louvered
en-US	louvres	louvers
en-US	lustre	luster
en-US	magnetise	magnetize
en-US	magnetised	magnetized
en-US	magnetises	magnetizes
en-US	magnetising	magnetizing
en-US	manoeuvre	maneuver
en-US	manoeuvrability	maneuverability
en-US	manoeuvrable	maneuverable
en-US	manoeuvred	maneuvered
en-US	manoeuvring	maneuvering
en-US	manoeuvrings	maneuverings
en-US	manoeuvres	maneuvers
en-US	marginalisation	marginalization
en-US	marginalise	marginalize
en-US	marginalised	marginalized
en-US	marginalises	marginalizes
en-US	marginalising	marginalizing
en-US	marshalled	marshaled
en-US	marshalling	marshaling
en-US	marvelled	marveled
en-US	marvelling	marveling
en-US	marvellous	marvelous
en-US	marvellously	marvelously
en-US	materialisation	materialization
en-US	materialise	materialize
en-US	materialised	materialized
en-US	materialises	materializes
en-US	materialising	materializing
en-US	maximisation	maximization
en-US	maximise	maximize
en-US	maximised	maximized
en-US	maximises	maximizes
en-US	maximising	maximizing
en-US	meagre	meager
en-US	mechanisation	mechanization
en-US	mechanise	mechanize
en-US	mechanised	mechanized
en-US	mechanises	mechanizes
en-US	mechanising	mechanizing
en-US	mediaeval	medieval
en-US	memorialise	memorialize
en-US	memorialised	memorialized
en-US	memorialises	memorializes
en-US	memorialising	memorializing
en-US	memorise	memorize
en-US	memorised	memorized
en-US	memorises	memorizes
en-US	memorising	memorizing
en-US	mesmerise	mesmerize
en-US	mesmerised	mesmerized
en-US	mesmerises	mesmerizes
en-US	mesmerising	mesmerizing
en-US	metabolise	metabolize
en-US	metabolised	metabolized
en-US	metabolises	metabolizes
en-US	metabolising	metabolizing
en-US	metre	meter
en-US	metres	meters
en-US	micrometre	micrometer
en-US	micrometres	micrometers
en-US	militarise	militarize
en-US	militarised	militarized
en-US	militarises	militarizes
en-US	militarising	militarizing
en-US	milligramme	milligram
en-US	milligrammes	milligrams
en-US	millilitre	milliliter
en-US	millilitres	milliliters
en-US	millimetre	millimeter
en-US	millimetres	millimeters
en-US	miniaturisation	miniaturization
en-US	miniaturise	miniaturize
en-US	miniaturised	miniaturized
en-US	miniaturises	miniaturizes
en-US	miniaturising	miniaturizing
en-US	minibuses	minibusses
en-US	minimise	minimize
en-US	minimised	minimized
en-US	minimises	minimizes
en-US	minimising	minimizing
en-US	misbehaviour	misbehavior
en-US	misdemeanour	misdemeanor
en-US	misdemeanours	misdemeanors
en-US	misspelt	misspelled
en-US	mitre	miter
en-US	mitres	miters
en-US	mobilisation	mobilization
en-US	mobilise	mobilize
en-US	mobilised	mobilized
en-US	mobilises	mobilizes
